intent,intent_size,dimensions,n_customers,support,stability_proxy,is_kneedle_pruned
F1@0.3 & F1@0.5 & F1@0.7 & R1@0.3 & R1@0.5 & R1@0.7,6,RF,372,0.06328683225586934,0.9865591397849462,False
F2@0.3 & F2@0.5 & M5@0.3 & R5@0.3 & R5@0.5 & R5@0.7,6,RFM,372,0.06328683225586934,0.9946236559139785,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & M3@0.7 & R5@0.3 & R5@0.5 & R5@0.7,9,RFM,372,0.06328683225586934,0.9973118279569892,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & R3@0.3,5,RFM,371,0.0631167063627084,0.9757412398921833,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R5@0.3 & R5@0.5,6,RFM,371,0.0631167063627084,0.9946091644204852,False
F2@0.3 & F2@0.5 & M5@0.3 & M5@0.5 & R5@0.3,5,RFM,367,0.06243620279006465,0.9918256130790191,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & R3@0.3,6,RFM,365,0.062095951003742766,0.9780821917808219,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R2@0.3,5,RFM,364,0.06192582511058183,0.9835164835164835,False
F2@0.3 & F2@0.5 & M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5,6,RFM,362,0.06158557332425995,0.994475138121547,False
F1@0.3 & F1@0.5 & F2@0.3 & R5@0.3,4,RF,360,0.061245321537938074,0.9861111111111112,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R3@0.3 & R3@0.5,6,RFM,359,0.06107519564477713,0.9832869080779945,False
F2@0.3 & M4@0.3,2,FM,357,0.06073494385845526,0.9635854341736695,False
F1@0.3 & F2@0.3 & M5@0.3 & R5@0.3 & R5@0.5 & R5@0.7,6,RFM,357,0.06073494385845526,0.9971988795518207,False
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & R4@0.3,5,RFM,355,0.060394692072133375,0.9746478873239437,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & R4@0.3,6,RFM,354,0.06022456617897244,0.9774011299435028,False
F1@0.3 & F1@0.5 & M5@0.3 & M5@0.5 & R5@0.3,5,RFM,353,0.0600544402858115,0.9943342776203966,False
F1@0.3 & F1@0.5 & F2@0.3 & R5@0.3 & R5@0.5,5,RF,348,0.05920381082000681,0.9913793103448276,False
F2@0.3 & F2@0.5 & M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5 & R5@0.7,7,RFM,348,0.05920381082000681,0.9942528735632183,False
F2@0.3 & F2@0.5 & M5@0.3 & M5@0.5 & M5@0.7,5,FM,347,0.05903368492684587,0.9798270893371758,False
F1@0.3 & F1@0.5 & F1@0.7 & M5@0.3,4,FM,345,0.058693433140523985,0.9855072463768116,False
F1@0.3 & M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3,5,RFM,345,0.058693433140523985,0.9942028985507246,False
M4@0.3 & M5@0.3 & R5@0.3,3,RM,344,0.05852330724736305,0.9912790697674418,False
F1@0.3 & M1@0.3 & R4@0.3,3,RFM,343,0.05835318135420211,0.9825072886297376,False
F1@0.3 & F2@0.3 & M5@0.3 & M5@0.5,4,FM,342,0.05818305546104117,0.9883040935672515,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R4@0.3,5,RFM,342,0.05818305546104117,0.9824561403508771,False
F1@0.3 & F1@0.5 & M4@0.3 & M5@0.3,4,FM,340,0.05784280367471929,0.9852941176470589,False
F1@0.3 & F1@0.5 & M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5,6,RFM,333,0.05665192242259272,0.996996996996997,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & R3@0.3,6,RFM,332,0.05648179652943178,0.9909638554216867,False
F2@0.3 & F2@0.5 & M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3,6,RFM,332,0.05648179652943178,0.9909638554216867,False
F1@0.3 & F1@0.5 & M3@0.3 & R4@0.3 & R4@0.5,5,RFM,331,0.05631167063627084,0.972809667673716,False
M4@0.3 & M5@0.3 & R5@0.3 & R5@0.5,4,RM,330,0.0561415447431099,0.9939393939393939,False
F1@0.3 & M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3 & R5@0.5,6,RFM,330,0.0561415447431099,0.996969696969697,False
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5 & R4@0.3,5,RFM,328,0.055801292956788026,0.9817073170731707,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & R4@0.3 & R4@0.5,6,RFM,327,0.055631167063627085,0.9724770642201834,False
F2@0.3 & F2@0.5 & M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3 & R5@0.5,7,RFM,327,0.055631167063627085,0.9938837920489296,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & R4@0.3,6,RFM,325,0.0552909152773052,0.9815384615384616,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & R1@0.3,6,RFM,324,0.05512078938414427,0.9938271604938271,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & R5@0.3,6,RFM,324,0.05512078938414427,0.9938271604938271,False
F1@0.3 & F2@0.3 & M4@0.3,3,FM,323,0.05495066349098333,0.9721362229102167,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R5@0.3 & R5@0.5 & R5@0.7,7,RFM,323,0.05495066349098333,0.9938080495356038,False
M4@0.3 & M4@0.5 & R4@0.3,3,RM,322,0.054780537597822386,0.9751552795031055,False
F1@0.3 & M4@0.3 & M5@0.3 & R5@0.3,4,RFM,322,0.054780537597822386,0.9937888198757764,False
F1@0.3 & F1@0.5 & F2@0.3 & R5@0.3 & R5@0.5 & R5@0.7,6,RF,322,0.054780537597822386,0.9906832298136646,False
F1@0.3 & M2@0.3 & M2@0.5 & M2@0.7 & R5@0.3,5,RFM,321,0.05461041170466145,0.9937694704049844,False
F2@0.3 & M4@0.3 & R5@0.3,3,RFM,320,0.05444028581150051,0.978125,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & M2@0.7 & R5@0.3,7,RFM,320,0.05444028581150051,0.99375,False
F1@0.3 & M4@0.3 & M4@0.5 & R4@0.3,4,RFM,319,0.05427015991833957,0.9811912225705329,False
R3@0.3 & R4@0.3,2,R,318,0.054100034025178635,0.9622641509433962,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R1@0.3 & R1@0.5,6,RFM,317,0.053929908132017694,0.9905362776025236,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R4@0.3 & R4@0.5,6,RFM,317,0.053929908132017694,0.9716088328075709,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & R2@0.3,6,RFM,316,0.05375978223885675,0.990506329113924,False
F1@0.3 & R3@0.3 & R4@0.3,3,RF,315,0.05358965634569581,0.9682539682539683,False
F2@0.3 & F2@0.5 & M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3 & R5@0.5 & R5@0.7,8,RFM,314,0.05341953045253488,0.9936305732484076,False
F1@0.3 & F2@0.3 & M5@0.3 & M5@0.5 & R5@0.3,5,RFM,313,0.053249404559373936,0.9936102236421726,False
F1@0.3 & F1@0.5 & R3@0.3 & R4@0.3,4,RF,312,0.053079278666212995,0.967948717948718,False
F2@0.3 & M4@0.3 & R5@0.3 & R5@0.5,4,RFM,311,0.05290915277305206,0.9839228295819936,False
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5 & R4@0.3,5,RFM,311,0.05290915277305206,0.9807073954983923,False
F1@0.3 & M4@0.3 & M5@0.3 & R5@0.3 & R5@0.5,5,RFM,309,0.05256890098673018,0.9967637540453075,False
R4@0.3 & R5@0.3 & R5@0.5,3,R,308,0.052398775093569244,0.9805194805194806,False
F1@0.3 & F1@0.5 & F1@0.7 & R3@0.3 & R4@0.3,5,RF,305,0.05188839741408642,0.9672131147540983,False
F1@0.3 & R4@0.3 & R5@0.3 & R5@0.5,4,RF,304,0.051718271520925486,0.9835526315789473,False
F1@0.3 & F2@0.3 & M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5,6,RFM,303,0.051548145627764545,0.9966996699669967,False
M4@0.3 & M5@0.3 & R5@0.3 & R5@0.5 & R5@0.7,5,RM,302,0.051378019734603604,0.9933774834437086,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R3@0.3 & R3@0.5,6,RFM,300,0.05103776794828173,0.9866666666666667,False
R2@0.3 & R3@0.3,2,R,299,0.05086764205512079,0.959866220735786,False
F1@0.3 & F1@0.5 & M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5 & R5@0.7,7,RFM,298,0.05069751616195985,0.9966442953020134,False
F1@0.3 & R2@0.3 & R3@0.3,3,RF,297,0.05052739026879891,0.9663299663299664,False
F1@0.3 & F1@0.5 & R2@0.3 & R3@0.3,4,RF,296,0.05035726437563797,0.9662162162162162,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & R5@0.3 & R5@0.5,7,RFM,296,0.05035726437563797,0.9966216216216216,False
F1@0.3 & M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3 & R5@0.5 & R5@0.7,7,RFM,295,0.05018713848247703,0.9966101694915255,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R2@0.3,5,RFM,294,0.050017012589316096,0.9693877551020408,False
F1@0.3 & F1@0.5 & F1@0.7 & R2@0.3 & R3@0.3,5,RF,294,0.050017012589316096,0.9659863945578231,False
F1@0.3 & M2@0.3 & M2@0.5 & M2@0.7 & R5@0.3 & R5@0.5,6,RFM,294,0.050017012589316096,0.9965986394557823,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & M2@0.7 & R5@0.3 & R5@0.5,8,RFM,293,0.049846886696155154,0.9965870307167235,False
F2@0.3 & M4@0.3 & R5@0.3 & R5@0.5 & R5@0.7,5,RFM,292,0.04967676080299421,0.9828767123287672,False
F1@0.3 & F1@0.5 & R4@0.3 & R5@0.3 & R5@0.5,5,RF,290,0.04933650901667234,0.9827586206896551,False
F1@0.3 & F2@0.3 & M4@0.3 & R5@0.3,4,RFM,289,0.0491663831235114,0.9826989619377162,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & R3@0.3 & R3@0.5,6,RFM,288,0.04899625723035046,0.9791666666666666,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & R3@0.3 & R3@0.5,7,RFM,286,0.04865600544402858,0.9825174825174825,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7 & R1@0.3,7,RFM,284,0.048315753657706705,0.9929577464788732,False
F1@0.3 & F1@0.5 & M4@0.3 & M5@0.3 & R5@0.3,5,RFM,283,0.04814562776454576,0.9929328621908127,False
F1@0.3 & F1@0.5 & M5@0.3 & M5@0.5 & M5@0.7,5,FM,282,0.04797550187138482,0.9822695035460993,False
F1@0.3 & F2@0.3 & M4@0.3 & R5@0.3 & R5@0.5,5,RFM,281,0.04780537597822389,0.9893238434163701,False
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3 & M4@0.5 & R4@0.3,6,RFM,281,0.04780537597822389,0.9786476868327402,False
F1@0.3 & M4@0.3 & M5@0.3 & R5@0.3 & R5@0.5 & R5@0.7,6,RFM,281,0.04780537597822389,0.99644128113879,False
F1@0.3 & F2@0.3 & M5@0.3 & M5@0.5 & R5@0.3 & R5@0.5 & R5@0.7,7,RFM,279,0.047465124191902006,0.996415770609319,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & R3@0.3,6,RFM,278,0.04729499829874107,0.9784172661870504,False
F1@0.3 & F1@0.5 & F2@0.3 & M5@0.3,4,FM,277,0.04712487240558013,0.9855595667870036,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7 & R3@0.3,7,RFM,276,0.04695474651241919,0.9891304347826086,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7 & R2@0.3,7,RFM,274,0.046614494726097314,0.9890510948905109,False
F1@0.3 & F1@0.5 & M4@0.3 & M5@0.3 & R5@0.3 & R5@0.5,6,RFM,271,0.0461041170466145,0.996309963099631,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M2@0.3 & M2@0.5,6,FM,270,0.045933991153453556,0.9666666666666667,False
F1@0.3 & F1@0.5 & F1@0.7 & M5@0.3 & R5@0.3,5,RFM,269,0.045763865260292615,0.9925650557620818,False
F1@0.3 & M1@0.3 & M1@0.5 & R4@0.3,4,RFM,267,0.04542361347397074,0.9887640449438202,False
F1@0.3 & F1@0.5 & M3@0.3 & M4@0.3 & R5@0.3,5,RFM,267,0.04542361347397074,0.9850187265917603,False
R2@0.3 & R2@0.5 & R2@0.7,3,R,266,0.0452534875808098,0.9774436090225564,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & R4@0.3,6,RFM,266,0.0452534875808098,0.9887218045112782,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & R1@0.3 & R1@0.5,7,RFM,266,0.0452534875808098,0.9924812030075187,False
F1@0.3 & F1@0.5 & R2@0.3 & R2@0.5 & R2@0.7,5,RF,265,0.04508336168764886,0.9811320754716981,False
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3 & R5@0.3 & R5@0.5,6,RF,264,0.04491323579448792,0.9810606060606061,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7 & R5@0.3,7,RFM,263,0.04474310990132698,0.9923954372623575,False
M4@0.3 & R4@0.3 & R4@0.5,3,RM,262,0.04457298400816604,0.9580152671755725,False
F1@0.3 & F2@0.3 & M4@0.3 & R5@0.3 & R5@0.5 & R5@0.7,6,RFM,262,0.04457298400816604,0.9885496183206107,False
F1@0.3 & F1@0.5 & F1@0.7 & R2@0.3 & R2@0.5 & R2@0.7,6,RF,260,0.044232732221844165,0.9807692307692307,False
F1@0.3 & M4@0.3 & R4@0.3 & R4@0.5,4,RFM,259,0.044062606328683224,0.9652509652509652,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & R5@0.3 & R5@0.5 & R5@0.7,8,RFM,259,0.044062606328683224,0.9961389961389961,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M4@0.3 & R5@0.3,6,RFM,258,0.04389248043552229,0.9844961240310077,False
F1@0.3 & F2@0.3 & M5@0.3 & M5@0.5 & M5@0.7,5,FM,257,0.04372235454236135,0.9844357976653697,False
F1@0.3 & M2@0.3 & M2@0.5 & M2@0.7 & R5@0.3 & R5@0.5 & R5@0.7,7,RFM,257,0.04372235454236135,0.9961089494163424,False
F1@0.3 & F1@0.5 & F2@0.3 & M4@0.3,4,FM,256,0.04355222864920041,0.96484375,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & M2@0.7 & R5@0.3 & R5@0.5 & R5@0.7,9,RFM,256,0.04355222864920041,0.99609375,False
F1@0.3 & F1@0.5 & M4@0.3 & R4@0.3 & R4@0.5,5,RFM,255,0.043382102756039466,0.9647058823529412,False
F2@0.3 & M4@0.3 & M4@0.5,3,FM,254,0.04321197686287853,0.9566929133858267,False
F1@0.3 & F1@0.5 & F1@0.7 & M5@0.3 & R5@0.3 & R5@0.5,6,RFM,253,0.04304185096971759,0.9960474308300395,False
F1@0.3 & M1@0.3 & R4@0.3 & R4@0.5,4,RFM,250,0.042531473290234774,0.976,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R1@0.3 & R1@0.5 & R1@0.7,7,RFM,250,0.042531473290234774,0.992,False
F1@0.3 & F1@0.5 & F2@0.3 & M5@0.3 & R5@0.3,5,RFM,249,0.04236134739707383,0.9919678714859438,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R4@0.3 & R4@0.5,6,RFM,249,0.04236134739707383,0.9759036144578314,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & R4@0.3 & R4@0.5,7,RFM,248,0.0421912215039129,0.9717741935483871,False
F1@0.3 & F1@0.5 & M3@0.3 & M4@0.3 & R5@0.3 & R5@0.5,6,RFM,246,0.041850969717591016,0.991869918699187,False
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5 & M4@0.3,5,FM,244,0.04151071793126914,0.9590163934426229,False
F1@0.3 & F1@0.5 & M4@0.3 & M5@0.3 & R5@0.3 & R5@0.5 & R5@0.7,7,RFM,244,0.04151071793126914,0.9959016393442623,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & M4@0.3,6,FM,241,0.041000340251786324,0.9585062240663901,False
F1@0.3 & F1@0.5 & F2@0.3 & M5@0.3 & R5@0.3 & R5@0.5,6,RFM,240,0.04083021435862538,0.9958333333333333,False
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5 & R4@0.3 & R4@0.5,6,RFM,240,0.04083021435862538,0.975,False
F1@0.3 & F2@0.3 & M5@0.3 & M5@0.5 & M5@0.7 & R5@0.3,6,RFM,239,0.04066008846546444,0.9916317991631799,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & R3@0.3 & R3@0.5,7,RFM,239,0.04066008846546444,0.9916317991631799,False
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7 & R5@0.3 & R5@0.5,8,RFM,239,0.04066008846546444,0.99581589958159,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5 & R4@0.3 & R4@0.5,7,RFM,237,0.040319836679142566,0.9746835443037974,False
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M4@0.3 & R5@0.3 & R5@0.5,7,RFM,237,0.040319836679142566,0.9915611814345991,False
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5 & M3@0.3,6,FM,236,0.040149710785981625,0.9576271186440678,False
